module_id;grade;attempt;status;
T3INF4101;2.2;1;bestanden;
T3INF4103;1.0;1;bestanden;
T3INF2002;1.0;1;bestanden;
T3INF2003;1.0;1;bestanden;
T3INF2004;2.1;1;bestanden;
T3INF2006;1.2;1;bestanden;
T3INF1005;1.2;1;bestanden;
T3INF1001;2.1;1;bestanden;
T3INF1004;1.0;1;bestanden;
T3INF1003;1.6;1;bestanden;
T3INF1006;1.5;1;bestanden;
T3INF4211;1.0;1;bestanden;
T3INF1002;1.6;1;bestanden;
T3_2000;1.2;1;bestanden;
T3INF4911;1.4;1;bestanden;
T3INF2001;1.9;1;bestanden;
T3INF4190;1.3;1;bestanden;
T3INF2005;1.7;1;bestanden;
